OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR
1,Block,1ST AVE BETWEEN BROAD ST AND EAGLE ST,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/11/02 00:00:00+00,NA,NA,NA,NA,NA,N
4,NA,NA,0,Unknown,NA,0,0,0,0,0,0,0,2020/05/21 00:00:00+00,NA,NA,NA,NA,NA,N
5,Block,53RD AVE S BETWEEN S LEO ST AND S AVON ST,0,Unknown,NA,0,0,0,0,0,0,0,2020/11/21 00:00:00+00,NA,NA,NA,NA,NA,Y
6,Block,GREENWOOD AVE N BETWEEN N 90TH ST AND N 92ND ST,0,Unknown,NA,2,0,0,0,0,0,0,2020/06/05 00:00:00+00,NA,NA,NA,NA,NA,Y
7,Intersection,12TH AVE AND E PIKE ST,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/11/08 00:00:00+00,NA,NA,NA,NA,NA,N
8,Block,25TH WR AVE W BETWEEN W ARMOUR ST AND W DRAVUS ST,0,Unknown,NA,0,0,0,0,0,0,0,2020/11/02 00:00:00+00,NA,NA,NA,NA,NA,N
9,NA,NA,0,Unknown,NA,0,0,0,0,0,0,0,2020/11/26 00:00:00+00,NA,NA,NA,NA,NA,N
10,Block,S ORCAS ST BETWEEN PADILLA PL S AND CORSON AVE S,0,Unknown,NA,0,0,0,0,0,0,0,2020/10/21 00:00:00+00,NA,NA,NA,NA,NA,Y
11,Block,RAINIER AVE S BETWEEN S MCCLELLAN ST AND S FOREST ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020/10/25 00:00:00+00,N,Clear,Dry,Dawn,NA,N
12,Intersection,23RD AVE E AND E ALOHA ST,2,Injury Collision,NA,2,0,0,0,2,0,0,2020/10/14 00:00:00+00,NA,NA,NA,NA,NA,N
13,Block,39TH AVE SW BETWEEN SW ADMIRAL WAY AND SW OLGA ST,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/11/14 00:00:00+00,NA,NA,NA,NA,NA,Y
